brand,currency,min_price,rating,five_star_scale_rating,ratings_count,condition_label,condition_description,seller_note,processor,screen_size_inches,manufacturer_color,color,hard_drive_size,hard_drive_size_unit,ram_size,ram_size_unit,ssd_size,ssd_size_unit,gpu_type,processor_speed,processor_speed_unit,laptop_type,release_year,display_width,display_height,model,os,features,country_of_manufacturer,storage_type
unknown,$,526.29,,,,seller_refurbished,"The item has been restored to working order by the eBay seller or a third party.
    This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition.
    This item may or may not be in original packaging.",,,,other,other,,,,,,,intel,,unknown,pc,,,,,unknown,,unknown,unknown
unknown,$,64.62,,,,no_label,No description,,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,682.88,,,,seller_refurbished,"The item has been restored to working order by the eBay seller or a third party.
    This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition.
    This item may or may not be in original packaging.",,,,other,gray,,,,,,,intel,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,317.73,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
auo,$,91.7,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,247.94,,,,seller_refurbished,"The item has been restored to working order by the eBay seller or a third party.
    This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition.
    This item may or may not be in original packaging.",,,,other,black,,,,,,,intel,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,830.84,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,,,other,other,,,,,,,intel,,unknown,unknown,,,,,unknown,,unknown,unknown
dell,$,347.83,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_3rd_generation,14.0,other,other,,unknown,,,240.0,gigabytes,intel,2.0,GHz,laptop,,1280,720,e6430,windows,"10/100lancard,wi-fi",unknown,unknown
unknown,$,8.68,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.","“GRADO------- B ---------prima di acquistare leggere attentamente classificazione,caratteristiche ...  Read moreabout the seller notes“GRADO------- B ---------prima di acquistare leggere attentamente classificazione,caratteristiche condizioni cerchiamo di fornire piu informazioni possibili per paragonare i gradi degli oggetti in modo che possiate identificare il più possibile quello che state acquistandogli oggetti non comprendono caricatore,scatola o accessori almeno che non specificato” Read Lessabout the seller notes",,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,309.91,,,,good_refurbished,"The item shows moderate wear and is backed by a one-year warranty.
    It is fully functional and has been professionally refurbished, inspected, and cleaned to good condition by qualified sellers.
    The item includes original or new accessories and will come in a new generic packaging.",,,,other,other,,,,,,,intel,,unknown,unknown,,,,,unknown,,unknown,unknown
acer,$,55.0,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_celeron_n,14.0,other,silver,,,4.0,gigabytes,32.0,gigabytes,intel,1.6,GHz,laptop,,,,cb3431c3ws,chrome,"bluetooth,built-inmicrophone,built-inwebcam,wi-fi",unknown,emmc
hp,$,419.99,,,,very_good_refurbished,"The item shows minimal wear and is backed by a one-year warranty.
    It is fully functional and has been professionally refurbished, inspected, and cleaned to very good condition by qualified sellers.
    The item includes original or new accessories and will come in new generic packaging.","“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely and ...  Read moreabout the seller notes“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. Minimal imperfections may be present on the unit, such as light scuffs or light scratches. Genuine AC adapter & battery included with your order. Your order is backed by our 30 day money-back guarantee, and extended 1-year Allstate warranty.” Read Lessabout the seller notes",intel_core_i7_8th_gen,14.0,other,black,2.0,terabytes,,,,,intel,4.2,GHz,laptop,2023,1920,1080,hp_elitebook_840_g6,windows,"bluetooth,built-inmicrophone,built-inwebcam,multi-touchtrackpad,widescreendisplay,wi-fi",unknown,ssd
craig,$,10.49,,,,for_parts_or_not_working,"An item that does not function as intended and is not fully operational.
    This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components.",“FOR PARTS ONLY - DOES NOT WORK EVEN THOUGH IT IS NEW OPEN BOX.  All pieces shown.”,android_4.0,7.0,other,other,,,,,,,unknown,1.3,GHz,laptop,,800,480,craig_clp281x,android,forpartsonly,unknown,unknown
unknown,$,21.75,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unbranded,$,125.0,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_celeron,11.6,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
dell,$,485.82,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_6th_generation,12.0,other,other,,unknown,,,240.0,gigabytes,intel,2.8,GHz,laptop,,,,e7270,windows,"touchscreen,10/100lancard,bluetooth,backlitkeyboard,webcamintegrated,wi-fi",unknown,unknown
lenovo,$,695.0,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i7_9750h,15.6,other,black,512.0,gigabytes,32.0,gigabytes,512.0,gigabytes,nvidia,2.6,GHz,laptop,,,,lenovo_thinkpad_x1_extreme_gen_2,windows,,unknown,ssd
lg,$,127.83,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,216.42,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.","“This item is in excellent condition, I would give the unit a rating of 8.5 out of 10. Comes ...  Read moreabout the seller notes“This item is in excellent condition, I would give the unit a rating of 8.5 out of 10. Comes complete with battery, operating system and original Panasonic charger.” Read Lessabout the seller notes",,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
dell,$,101.22,,,,good_refurbished,"The item shows moderate wear and is backed by a one-year warranty.
    It is fully functional and has been professionally refurbished, inspected, and cleaned to good condition by qualified sellers.
    The item includes original or new accessories and will come in a new generic packaging.",“Laptops is tested & fully working with some sign of use (scratches and/or marks on case. May have ...  Read moreabout the seller notes“Laptops is tested & fully working with some sign of use (scratches and/or marks on case. May have scratches and spots on screen). Please Note Our Images Are An Example Of The Laptop You Will Receive. Model Numbers Will Vary.Windows 10 installed. Comes with charger and power lead.” Read Lessabout the seller notes,intel_core_i5_6th_gen,12.5,other,other,,unknown,8.0,gigabytes,256.0,gigabytes,other,1.4,GHz,laptop,2015,1366,768,various_models,windows,"10/100lancard,built-inmicrophone,built-inwebcam,wi-fi",unknown,ssd
lg,$,899.0,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
unknown,$,309.91,,,,good_refurbished,"The item shows moderate wear and is backed by a one-year warranty.
    It is fully functional and has been professionally refurbished, inspected, and cleaned to good condition by qualified sellers.
    The item includes original or new accessories and will come in a new generic packaging.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
hp,$,499.99,,,,open_box,"An item in excellent, new condition with no wear.
    The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed.
    The item includes original accessories and may be a factory second.",“FACTORY SEALED IN ORIGINAL HP MFR. REFURBISHED BOX.  COMES WITH HP MFR. WARRANTY GOOD TILL 08-2024  ...  Read moreabout the seller notes“FACTORY SEALED IN ORIGINAL HP MFR. REFURBISHED BOX.  COMES WITH HP MFR. WARRANTY GOOD TILL 08-2024                             LOC.  053” Read Lessabout the seller notes,intel_core_i3_12th_gen,13.5,other,other,,,8.0,gigabytes,128.0,gigabytes,intel,1.2,GHz,laptop,2022,2256,1504,hp_elite_dragonfly,chrome,"backlitkeyboard,built-inwebcam,touchscreen,wi-fi",unknown,ssd
dell,$,320.33,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_4th_generation,14.0,other,other,,unknown,,,240.0,gigabytes,nvidia,2.6,GHz,laptop,,1280,720,e5440,windows,"10/100lancard,wi-fi,sdcardreader",unknown,unknown
fujitsu_siemens,$,486.62,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_4th_generation,15.0,other,other,,unknown,,,120.0,gigabytes,intel,,unknown,unknown,,1280,720,a574,windows,,unknown,unknown
dell,$,477.83,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_5th_generation,14.0,other,black,,unknown,,,960.0,gigabytes,intel,2.7,GHz,laptop,,1280,720,e7450,windows,"10/100lancard,wi-fi,sdcardreader",unknown,unknown
unknown,$,82.24,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
hp,$,88.0,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,i5,12.0,other,other,128.0,gigabytes,4.0,gigabytes,128.0,gigabytes,unknown,1.6,GHz,laptop,,,,hp_revolve_810_g2,windows,touchscreen,unknown,ssd
lenovo,$,569.85,,,,open_box,"An item in excellent, new condition with no wear.
    The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed.
    The item includes original accessories and may be a factory second.","“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by LENOVO direct (not by 3rd party) to BRAND ...  Read moreabout the seller notes“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by LENOVO direct (not by 3rd party) to BRAND NEW condition and is backed by a Lenovo Factory Warranty. Looks just ""Like New"" Sealed in a LENOVO box. LENOVO warranty card. All original accessories included! You wont see a difference. SAVE BIG!!!” Read Lessabout the seller notes",intel_core_i7_11th_gen,15.6,other,blue,512.0,gigabytes,12.0,gigabytes,512.0,gigabytes,intel,4.7,GHz,laptop,2022,1920,1080,core_i71165u,windows,"backlitkeyboard,bluetooth,built-inmicrophone,built-inwebcam,touchscreen,wi-fi,fingerprintreader",unknown,ssd
lenovo,$,100.0,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i3_4th_gen,15.6,black,black,250.0,gigabytes,8.0,gigabytes,256.0,gigabytes,intel,2.4,GHz,laptop,2016,1366,768,lenovo_thinkpad_e540,windows,"bluetooth,built-inmicrophone,built-inwebcam,dvd-drive,built-inspeakers",unknown,ssd
dell,$,424.83,,,,used,"An item that has been used previously.
    The item may have some signs of cosmetic wear but is fully operational and functions as intended.
    This item may be a floor model or store return that has been used.",,intel_core_i5_6th_generation,12.0,other,black,,unknown,,,120.0,gigabytes,intel,2.8,GHz,laptop,,,,e7270,windows,"touchscreen,10/100lancard,bluetooth,backlitkeyboard,webcamintegrated,wi-fi",unknown,unknown
unbranded,$,42.11,,,,new,"A brand-new, unused, unopened, undamaged item in its original packaging.
    Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.",,does_not_apply,,other,other,,,,,,,unknown,,unknown,unknown,,,,,unknown,,unknown,unknown
